title_year,genres,color,duration,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,movie_facebook_likes,num_critic_for_reviews,num_voted_users,facenumber_in_poster,num_user_for_reviews,language,gross,budget,imdb_score,aspect_ratio
2009,Action|Adventure|Fantasy|Sci-Fi,Color,178,0,1000,936,855,4834,33000,723,886204,0,3054,English,760505847,237000000,7.9,1.78
2007,Action|Adventure|Fantasy,Color,169,563,40000,5000,1000,48350,0,302,471220,0,1238,English,309404152,300000000,7.1,2.35
2015,Action|Adventure|Thriller,Color,148,0,11000,393,161,11700,85000,602,275868,1,994,English,200074175,245000000,6.8,2.35
2012,Action|Thriller,Color,164,22000,27000,23000,23000,106759,164000,813,1144337,0,2701,English,448130642,250000000,8.5,2.35
,Documentary,,,131,131,12,,143,0,,8,0,,,,,7.1,
2012,Action|Adventure|Sci-Fi,Color,132,475,640,632,530,1873,24000,462,212204,1,738,English,73058679,263700000,6.6,2.35
2007,Action|Adventure|Romance,Color,156,0,24000,11000,4000,46055,0,392,383056,0,1902,English,336530303,258000000,6.2,2.35
2010,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Color,100,15,799,553,284,2036,29000,324,294810,1,387,English,200807262,260000000,7.8,1.85
2015,Action|Adventure|Sci-Fi,Color,141,0,26000,21000,19000,92000,118000,635,462669,4,1117,English,458991599,250000000,7.5,2.35
2009,Adventure|Family|Fantasy|Mystery,Color,153,282,25000,11000,10000,58753,10000,375,321795,3,973,English,301956980,250000000,7.5,2.35
2016,Action|Adventure|Sci-Fi,Color,183,0,15000,4000,2000,24450,197000,673,371639,0,3018,English,330249062,250000000,6.9,2.35
2006,Action|Adventure|Sci-Fi,Color,169,0,18000,10000,903,29991,0,434,240396,0,2367,English,200069408,209000000,6.1,2.35
2008,Action|Adventure,Color,106,395,451,412,393,2023,0,403,330784,1,1243,English,168368427,200000000,6.7,2.35
2006,Action|Adventure|Fantasy,Color,151,563,40000,5000,1000,48486,5000,313,522040,2,1832,English,423032628,225000000,7.3,2.35
